Region label,Unit of measure,Commodity,Year,Value
Victoria,tonnes,Maize,1915,25900
Queensland,tonnes,Maize,1915,50900
South Australia,tonnes,Maize,1915,0
Western Australia,tonnes,Maize,1915,0
Tasmania,tonnes,Maize,1915,0
Northern Territory,tonnes,Maize,1915,0
Australian Capital Territory,tonnes,Maize,1915,0
New South Wales,tonnes,Oats,1915,9300
Victoria,tonnes,Oats,1915,29200
Queensland,tonnes,Oats,1915,800
South Australia,tonnes,Oats,1915,6700
Western Australia,tonnes,Oats,1915,8400
Tasmania,tonnes,Oats,1915,24300
Northern Territory,tonnes,Oats,1915,0
Australian Capital Territory,tonnes,Oats,1915,0
New South Wales,tonnes,Wheat,1915,349200
Victoria,tonnes,Wheat,1915,107300
Queensland,tonnes,Wheat,1915,43100
South Australia,tonnes,Wheat,1915,95900
Western Australia,tonnes,Wheat,1915,71400
Tasmania,tonnes,Wheat,1915,10500
Northern Territory,tonnes,Wheat,1915,0
Australian Capital Territory,tonnes,Wheat,1915,0
New South Wales,tonnes,Potatoes,1915,41400
Victoria,tonnes,Potatoes,1915,192300
Queensland,tonnes,Potatoes,1915,16300
South Australia,tonnes,Potatoes,1915,18300
Western Australia,tonnes,Potatoes,1915,15000
Tasmania,tonnes,Potatoes,1915,80200
Northern Territory,tonnes,Potatoes,1915,0
Australian Capital Territory,tonnes,Potatoes,1915,0
New South Wales,tonnes,Barley,1916,2600
Victoria,tonnes,Barley,1916,39300
Queensland,tonnes,Barley,1916,200
South Australia,tonnes,Barley,1916,38500
Western Australia,tonnes,Barley,1916,3000
Tasmania,tonnes,Barley,1916,2600
Northern Territory,tonnes,Barley,1916,0
Australian Capital Territory,tonnes,Barley,1916,0
New South Wales,tonnes,Maize,1916,95900
Victoria,tonnes,Maize,1916,25400
Queensland,tonnes,Maize,1916,76700
South Australia,tonnes,Maize,1916,0
Western Australia,tonnes,Maize,1916,0
Tasmania,tonnes,Maize,1916,0
Northern Territory,tonnes,Maize,1916,0
Australian Capital Territory,tonnes,Maize,1916,0
New South Wales,tonnes,Oats,1916,24400
Victoria,tonnes,Oats,1916,169300
Queensland,tonnes,Oats,1916,0
South Australia,tonnes,Oats,1916,38600
Western Australia,tonnes,Oats,1916,27800
Tasmania,tonnes,Oats,1916,39600
Northern Territory,tonnes,Oats,1916,0
Australian Capital Territory,tonnes,Oats,1916,0
New South Wales,tonnes,Wheat,1916,1817000
Victoria,tonnes,Wheat,1916,1592700
Queensland,tonnes,Wheat,1916,11300
South Australia,tonnes,Wheat,1916,928500
Western Australia,tonnes,Wheat,1916,496000
Tasmania,tonnes,Wheat,1916,27000
Northern Territory,tonnes,Wheat,1916,0
Australian Capital Territory,tonnes,Wheat,1916,0
New South Wales,tonnes,Potatoes,1916,45200
Victoria,tonnes,Potatoes,1916,176600
Queensland,tonnes,Potatoes,1916,7600
South Australia,tonnes,Potatoes,1916,13200
Western Australia,tonnes,Potatoes,1916,14300
Tasmania,tonnes,Potatoes,1916,81200
Northern Territory,tonnes,Potatoes,1916,0
Australian Capital Territory,tonnes,Potatoes,1916,0
New South Wales,tonnes,Barley,1917,1700
Victoria,tonnes,Barley,1917,40800
Queensland,tonnes,Barley,1917,5700
South Australia,tonnes,Barley,1917,39400
Western Australia,tonnes,Barley,1917,3000
Tasmania,tonnes,Barley,1917,2000
Northern Territory,tonnes,Barley,1917,0
Australian Capital Territory,tonnes,Barley,1917,0
New South Wales,tonnes,Maize,1917,110100
Victoria,tonnes,Maize,1917,29800
Queensland,tonnes,Maize,1917,106400
South Australia,tonnes,Maize,1917,0
Western Australia,tonnes,Maize,1917,0
Tasmania,tonnes,Maize,1917,0
Northern Territory,tonnes,Maize,1917,0
Australian Capital Territory,tonnes,Maize,1917,0
New South Wales,tonnes,Oats,1917,19700
Victoria,tonnes,Oats,1917,150400
Queensland,tonnes,Oats,1917,2000
South Australia,tonnes,Oats,1917,33300
Western Australia,tonnes,Oats,1917,30600
Tasmania,tonnes,Oats,1917,18200
Northern Territory,tonnes,Oats,1917,0
Australian Capital Territory,tonnes,Oats,1917,0
New South Wales,tonnes,Wheat,1917,996000
Victoria,tonnes,Wheat,1917,1392400
Queensland,tonnes,Wheat,1917,67000
South Australia,tonnes,Wheat,1917,1244300
Western Australia,tonnes,Wheat,1917,438000
Tasmania,tonnes,Wheat,1917,9500
Northern Territory,tonnes,Wheat,1917,0
Australian Capital Territory,tonnes,Wheat,1917,0
New South Wales,tonnes,Potatoes,1917,46100
Victoria,tonnes,Potatoes,1917,191000
Queensland,tonnes,Potatoes,1917,19800
South Australia,tonnes,Potatoes,1917,20700
Western Australia,tonnes,Potatoes,1917,16700
Tasmania,tonnes,Potatoes,1917,68100
Northern Territory,tonnes,Potatoes,1917,0
Australian Capital Territory,tonnes,Potatoes,1917,0
New South Wales,tonnes,Barley,1918,2200
Victoria,tonnes,Barley,1918,44700
Queensland,tonnes,Barley,1918,3300
South Australia,tonnes,Barley,1918,37500
Western Australia,tonnes,Barley,1918,800
Tasmania,tonnes,Barley,1918,2200
Northern Territory,tonnes,Barley,1918,0
Australian Capital Territory,tonnes,Barley,1918,0
New South Wales,tonnes,Maize,1918,88900
Victoria,tonnes,Maize,1918,29300
Queensland,tonnes,Maize,1918,104300
South Australia,tonnes,Maize,1918,0
Western Australia,tonnes,Maize,1918,0
Tasmania,tonnes,Maize,1918,0
Northern Territory,tonnes,Maize,1918,0
Australian Capital Territory,tonnes,Maize,1918,0
New South Wales,tonnes,Oats,1918,26400
Victoria,tonnes,Oats,1918,111400
Queensland,tonnes,Oats,1918,800
South Australia,tonnes,Oats,1918,22600
Western Australia,tonnes,Oats,1918,16400
Tasmania,tonnes,Oats,1918,10300
Northern Territory,tonnes,Oats,1918,0
Australian Capital Territory,tonnes,Oats,1918,0
New South Wales,tonnes,Wheat,1918,1026400
Victoria,tonnes,Wheat,1918,1027000
Queensland,tonnes,Wheat,1918,28200
South Australia,tonnes,Wheat,1918,780400
Western Australia,tonnes,Wheat,1918,253100
Tasmania,tonnes,Wheat,1918,6900
Northern Territory,tonnes,Wheat,1918,0
Australian Capital Territory,tonnes,Wheat,1918,0
New South Wales,tonnes,Potatoes,1918,50800
Victoria,tonnes,Potatoes,1918,185100
Queensland,tonnes,Potatoes,1918,22500
South Australia,tonnes,Potatoes,1918,11500
Western Australia,tonnes,Potatoes,1918,11500
Tasmania,tonnes,Potatoes,1918,71600
Northern Territory,tonnes,Potatoes,1918,0
Australian Capital Territory,tonnes,Potatoes,1918,0
New South Wales,tonnes,Barley,1919,2000
Victoria,tonnes,Barley,1919,46000
Queensland,tonnes,Barley,1919,200
South Australia,tonnes,Barley,1919,54900
Western Australia,tonnes,Barley,1919,1800
Tasmania,tonnes,Barley,1919,3200
Northern Territory,tonnes,Barley,1919,0
Australian Capital Territory,tonnes,Barley,1919,0
New South Wales,tonnes,Maize,1919,53100
Victoria,tonnes,Maize,1919,18100
Queensland,tonnes,Maize,1919,46500
South Australia,tonnes,Maize,1919,0
