Region label,Unit of measure_x,Commodity,Year,Value,Unit of measure_y,Hectares
South Australia,tonnes,Potatoes,1937,21300,hectares,1900
Western Australia,tonnes,Potatoes,1937,23300,hectares,1800
Tasmania,tonnes,Potatoes,1937,140500,hectares,15000
Northern Territory,tonnes,Potatoes,1937,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1937,0,hectares,0
New South Wales,tonnes,Barley,1938,3800,hectares,4700
Victoria,tonnes,Barley,1938,61400,hectares,56600
Queensland,tonnes,Barley,1938,2700,hectares,3500
South Australia,tonnes,Barley,1938,196300,hectares,166400
Western Australia,tonnes,Barley,1938,13300,hectares,18200
Tasmania,tonnes,Barley,1938,7000,hectares,3800
Northern Territory,tonnes,Barley,1938,0,hectares,0
Australian Capital Territory,tonnes,Barley,1938,0,hectares,0
New South Wales,tonnes,Maize,1938,86400,hectares,50600
Victoria,tonnes,Maize,1938,19900,hectares,8400
Queensland,tonnes,Maize,1938,94800,hectares,74200
South Australia,tonnes,Maize,1938,0,hectares,0
Western Australia,tonnes,Maize,1938,0,hectares,0
Tasmania,tonnes,Maize,1938,0,hectares,0
Northern Territory,tonnes,Maize,1938,0,hectares,0
Australian Capital Territory,tonnes,Maize,1938,0,hectares,0
New South Wales,tonnes,Oats,1938,61600,hectares,103300
Victoria,tonnes,Oats,1938,96700,hectares,159600
Queensland,tonnes,Oats,1938,1400,hectares,3100
South Australia,tonnes,Oats,1938,53600,hectares,134500
Western Australia,tonnes,Oats,1938,79000,hectares,156300
Tasmania,tonnes,Oats,1938,18800,hectares,13100
Northern Territory,tonnes,Oats,1938,0,hectares,0
Australian Capital Territory,tonnes,Oats,1938,0,hectares,0
New South Wales,tonnes,Wheat,1938,1499700,hectares,1806800
Victoria,tonnes,Wheat,1938,1311100,hectares,1087000
Queensland,tonnes,Wheat,1938,102000,hectares,150900
South Australia,tonnes,Wheat,1938,1181300,hectares,1279500
Western Australia,tonnes,Wheat,1938,985300,hectares,1224800
Tasmania,tonnes,Wheat,1938,14200,hectares,8500
Northern Territory,tonnes,Wheat,1938,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1938,0,hectares,0
New South Wales,tonnes,Potatoes,1938,51600,hectares,8600
Victoria,tonnes,Potatoes,1938,136900,hectares,16600
Queensland,tonnes,Potatoes,1938,16800,hectares,4400
South Australia,tonnes,Potatoes,1938,22000,hectares,1800
Western Australia,tonnes,Potatoes,1938,21900,hectares,1700
Tasmania,tonnes,Potatoes,1938,101600,hectares,13100
Northern Territory,tonnes,Potatoes,1938,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1938,0,hectares,0
New South Wales,tonnes,Barley,1939,4900,hectares,5700
Victoria,tonnes,Barley,1939,37900,hectares,71200
Queensland,tonnes,Barley,1939,5600,hectares,5700
South Australia,tonnes,Barley,1939,171200,hectares,185000
Western Australia,tonnes,Barley,1939,21500,hectares,30300
Tasmania,tonnes,Barley,1939,4700,hectares,3500
Northern Territory,tonnes,Barley,1939,0,hectares,0
Australian Capital Territory,tonnes,Barley,1939,0,hectares,0
New South Wales,tonnes,Maize,1939,73800,hectares,49500
Victoria,tonnes,Maize,1939,10600,hectares,7500
Queensland,tonnes,Maize,1939,85000,hectares,71600
South Australia,tonnes,Maize,1939,0,hectares,0
Western Australia,tonnes,Maize,1939,0,hectares,0
Tasmania,tonnes,Maize,1939,0,hectares,0
Northern Territory,tonnes,Maize,1939,0,hectares,0
Australian Capital Territory,tonnes,Maize,1939,0,hectares,0
New South Wales,tonnes,Oats,1939,87700,hectares,161700
Victoria,tonnes,Oats,1939,52800,hectares,266300
Queensland,tonnes,Oats,1939,1700,hectares,3500
South Australia,tonnes,Oats,1939,43500,hectares,108000
Western Australia,tonnes,Oats,1939,84500,hectares,172400
Tasmania,tonnes,Oats,1939,11700,hectares,10000
Northern Territory,tonnes,Oats,1939,0,hectares,0
Australian Capital Territory,tonnes,Oats,1939,0,hectares,0
New South Wales,tonnes,Wheat,1939,1630200,hectares,1882100
Victoria,tonnes,Wheat,1939,492700,hectares,1112200
Queensland,tonnes,Wheat,1939,233500,hectares,178900
South Australia,tonnes,Wheat,1939,861500,hectares,1246600
Western Australia,tonnes,Wheat,1939,1002100,hectares,1381100
Tasmania,tonnes,Wheat,1939,5500,hectares,4000
Northern Territory,tonnes,Wheat,1939,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1939,0,hectares,0
New South Wales,tonnes,Potatoes,1939,40000,hectares,6800
Victoria,tonnes,Potatoes,1939,82700,hectares,13900
Queensland,tonnes,Potatoes,1939,19500,hectares,4200
South Australia,tonnes,Potatoes,1939,18800,hectares,1700
Western Australia,tonnes,Potatoes,1939,27000,hectares,2200
Tasmania,tonnes,Potatoes,1939,90800,hectares,10800
Northern Territory,tonnes,Potatoes,1939,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1939,0,hectares,0
New South Wales,tonnes,Barley,1940,10600,hectares,9800
Victoria,tonnes,Barley,1940,84800,hectares,82700
Queensland,tonnes,Barley,1940,6100,hectares,5300
South Australia,tonnes,Barley,1940,226100,hectares,203800
Western Australia,tonnes,Barley,1940,22100,hectares,33500
Tasmania,tonnes,Barley,1940,4400,hectares,3100
Northern Territory,tonnes,Barley,1940,0,hectares,0
Australian Capital Territory,tonnes,Barley,1940,0,hectares,0
New South Wales,tonnes,Maize,1940,72000,hectares,46900
Victoria,tonnes,Maize,1940,9700,hectares,7700
Queensland,tonnes,Maize,1940,112900,hectares,83100
South Australia,tonnes,Maize,1940,0,hectares,0
Western Australia,tonnes,Maize,1940,0,hectares,0
Tasmania,tonnes,Maize,1940,0,hectares,0
Northern Territory,tonnes,Maize,1940,0,hectares,0
Australian Capital Territory,tonnes,Maize,1940,0,hectares,0
New South Wales,tonnes,Oats,1940,125300,hectares,164000
Victoria,tonnes,Oats,1940,150200,hectares,177900
Queensland,tonnes,Oats,1940,3600,hectares,4700
South Australia,tonnes,Oats,1940,73500,hectares,141200
Western Australia,tonnes,Oats,1940,96200,hectares,183200
Tasmania,tonnes,Oats,1940,9600,hectares,9400
Northern Territory,tonnes,Oats,1940,0,hectares,0
Australian Capital Territory,tonnes,Oats,1940,0,hectares,0
New South Wales,tonnes,Wheat,1940,2083400,hectares,1772800
Victoria,tonnes,Wheat,1940,1226200,hectares,1144200
Queensland,tonnes,Wheat,1940,184800,hectares,146500
South Australia,tonnes,Wheat,1940,1117200,hectares,1106700
Western Australia,tonnes,Wheat,1940,1111400,hectares,1202100
Tasmania,tonnes,Wheat,1940,2900,hectares,3000
Northern Territory,tonnes,Wheat,1940,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1940,0,hectares,0
New South Wales,tonnes,Potatoes,1940,41200,hectares,7800
Victoria,tonnes,Potatoes,1940,89300,hectares,13000
Queensland,tonnes,Potatoes,1940,28800,hectares,5000
South Australia,tonnes,Potatoes,1940,21600,hectares,1800
Western Australia,tonnes,Potatoes,1940,31300,hectares,2300
Tasmania,tonnes,Potatoes,1940,116300,hectares,12300
Northern Territory,tonnes,Potatoes,1940,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1940,0,hectares,0
New South Wales,tonnes,Barley,1941,4000,hectares,8100
Victoria,tonnes,Barley,1941,26900,hectares,75900
Queensland,tonnes,Barley,1941,2800,hectares,2900
South Australia,tonnes,Barley,1941,108400,hectares,190700
Western Australia,tonnes,Barley,1941,16500,hectares,26600
Tasmania,tonnes,Barley,1941,3300,hectares,2300
Northern Territory,tonnes,Barley,1941,0,hectares,0
Australian Capital Territory,tonnes,Barley,1941,0,hectares,0
New South Wales,tonnes,Maize,1941,102700,hectares,57500
Victoria,tonnes,Maize,1941,17900,hectares,6200
Queensland,tonnes,Maize,1941,101300,hectares,70600
South Australia,tonnes,Maize,1941,0,hectares,0
Western Australia,tonnes,Maize,1941,0,hectares,0
Tasmania,tonnes,Maize,1941,0,hectares,0
Northern Territory,tonnes,Maize,1941,0,hectares,0
Australian Capital Territory,tonnes,Maize,1941,0,hectares,0
New South Wales,tonnes,Oats,1941,36200,hectares,95900
Victoria,tonnes,Oats,1941,47600,hectares,226300
Queensland,tonnes,Oats,1941,1400,hectares,2900
South Australia,tonnes,Oats,1941,33100,hectares,191200
Western Australia,tonnes,Oats,1941,58800,hectares,173700
Tasmania,tonnes,Oats,1941,7600,hectares,7100
Northern Territory,tonnes,Oats,1941,0,hectares,0
Australian Capital Territory,tonnes,Oats,1941,0,hectares,0
New South Wales,tonnes,Wheat,1941,651400,hectares,1802500
Victoria,tonnes,Wheat,1941,368000,hectares,1081600
Queensland,tonnes,Wheat,1941,154700,hectares,130300
South Australia,tonnes,Wheat,1941,485700,hectares,1036200
Western Australia,tonnes,Wheat,1941,572800,hectares,1062500
Tasmania,tonnes,Wheat,1941,3800,hectares,3300
Northern Territory,tonnes,Wheat,1941,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1941,0,hectares,0
New South Wales,tonnes,Potatoes,1941,51200,hectares,7200
Victoria,tonnes,Potatoes,1941,220000,hectares,17900
Queensland,tonnes,Potatoes,1941,22100,hectares,5100
South Australia,tonnes,Potatoes,1941,26000,hectares,2000
Western Australia,tonnes,Potatoes,1941,32000,hectares,2500
Tasmania,tonnes,Potatoes,1941,115900,hectares,15100
Northern Territory,tonnes,Potatoes,1941,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1941,0,hectares,0
New South Wales,tonnes,Barley,1942,6900,hectares,8300
Victoria,tonnes,Barley,1942,108700,hectares,82700
Queensland,tonnes,Barley,1942,2700,hectares,3000
South Australia,tonnes,Barley,1942,265900,hectares,193500
Western Australia,tonnes,Barley,1942,21800,hectares,27700
Tasmania,tonnes,Barley,1942,2700,hectares,2200
Northern Territory,tonnes,Barley,1942,0,hectares,0
Australian Capital Territory,tonnes,Barley,1942,0,hectares,0
New South Wales,tonnes,Maize,1942,79800,hectares,47500
Victoria,tonnes,Maize,1942,7800,hectares,3900
Queensland,tonnes,Maize,1942,96500,hectares,70300
South Australia,tonnes,Maize,1942,0,hectares,0
Western Australia,tonnes,Maize,1942,0,hectares,0
Tasmania,tonnes,Maize,1942,0,hectares,0
Northern Territory,tonnes,Maize,1942,0,hectares,0
Australian Capital Territory,tonnes,Maize,1942,0,hectares,0
New South Wales,tonnes,Oats,1942,74700,hectares,123000
Victoria,tonnes,Oats,1942,147900,hectares,170800
Queensland,tonnes,Oats,1942,1200,hectares,3300
South Australia,tonnes,Oats,1942,68800,hectares,117900
Western Australia,tonnes,Oats,1942,96400,hectares,164800
Tasmania,tonnes,Oats,1942,15200,hectares,11000
Northern Territory,tonnes,Oats,1942,0,hectares,0
Australian Capital Territory,tonnes,Oats,1942,0,hectares,0
New South Wales,tonnes,Wheat,1942,1320000,hectares,1606100
Victoria,tonnes,Wheat,1942,1277900,hectares,1115800
Queensland,tonnes,Wheat,1942,83800,hectares,117700
South Australia,tonnes,Wheat,1942,829900,hectares,941200
Western Australia,tonnes,Wheat,1942,1020000,hectares,1073800
Tasmania,tonnes,Wheat,1942,3900,hectares,2600
Northern Territory,tonnes,Wheat,1942,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1942,0,hectares,0
New South Wales,tonnes,Potatoes,1942,39300,hectares,7200
Victoria,tonnes,Potatoes,1942,120400,hectares,13500
Queensland,tonnes,Potatoes,1942,19300,hectares,3900
South Australia,tonnes,Potatoes,1942,24500,hectares,1900
Western Australia,tonnes,Potatoes,1942,25700,hectares,1900
Tasmania,tonnes,Potatoes,1942,111600,hectares,12400
Northern Territory,tonnes,Potatoes,1942,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1942,0,hectares,0
New South Wales,tonnes,Barley,1943,5100,hectares,5800
Victoria,tonnes,Barley,1943,28900,hectares,31500
Queensland,tonnes,Barley,1943,3700,hectares,3300
South Australia,tonnes,Barley,1943,136700,hectares,120600
Western Australia,tonnes,Barley,1943,12100,hectares,20000
Tasmania,tonnes,Barley,1943,1400,hectares,1100
Northern Territory,tonnes,Barley,1943,0,hectares,0
Australian Capital Territory,tonnes,Barley,1943,0,hectares,0
New South Wales,tonnes,Maize,1943,71500,hectares,41900
Victoria,tonnes,Maize,1943,6900,hectares,2900
Queensland,tonnes,Maize,1943,114600,hectares,69900
South Australia,tonnes,Maize,1943,0,hectares,0
Western Australia,tonnes,Maize,1943,0,hectares,0
Tasmania,tonnes,Maize,1943,0,hectares,0
Northern Territory,tonnes,Maize,1943,0,hectares,0
Australian Capital Territory,tonnes,Maize,1943,0,hectares,0
New South Wales,tonnes,Oats,1943,133100,hectares,174500
Victoria,tonnes,Oats,1943,120400,hectares,173200
Queensland,tonnes,Oats,1943,5000,hectares,7700
South Australia,tonnes,Oats,1943,60900,hectares,106300
Western Australia,tonnes,Oats,1943,65400,hectares,138500
Tasmania,tonnes,Oats,1943,5300,hectares,5300
Northern Territory,tonnes,Oats,1943,0,hectares,0
Australian Capital Territory,tonnes,Oats,1943,0,hectares,0
New South Wales,tonnes,Wheat,1943,1406900,hectares,1227400
Victoria,tonnes,Wheat,1943,1137700,hectares,868100
Queensland,tonnes,Wheat,1943,136100,hectares,135500
South Australia,tonnes,Wheat,1943,993500,hectares,813000
Western Australia,tonnes,Wheat,1943,560300,hectares,709500
Tasmania,tonnes,Wheat,1943,2000,hectares,1700
Northern Territory,tonnes,Wheat,1943,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1943,0,hectares,0
New South Wales,tonnes,Potatoes,1943,65800,hectares,9900
Victoria,tonnes,Potatoes,1943,198300,hectares,20900
Queensland,tonnes,Potatoes,1943,22800,hectares,4000
South Australia,tonnes,Potatoes,1943,33400,hectares,2900
Western Australia,tonnes,Potatoes,1943,32800,hectares,2600
Tasmania,tonnes,Potatoes,1943,138100,hectares,16400
Northern Territory,tonnes,Potatoes,1943,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1943,0,hectares,0
New South Wales,tonnes,Barley,1944,8600,hectares,8100
Victoria,tonnes,Barley,1944,24500,hectares,33700
Queensland,tonnes,Barley,1944,5700,hectares,5200
South Australia,tonnes,Barley,1944,114800,hectares,105800
Western Australia,tonnes,Barley,1944,16400,hectares,24800
Tasmania,tonnes,Barley,1944,2200,hectares,1400
Northern Territory,tonnes,Barley,1944,0,hectares,0
Australian Capital Territory,tonnes,Barley,1944,0,hectares,0
New South Wales,tonnes,Maize,1944,70300,hectares,41800
Victoria,tonnes,Maize,1944,3800,hectares,2700
Queensland,tonnes,Maize,1944,98000,hectares,64000
South Australia,tonnes,Maize,1944,0,hectares,0
Western Australia,tonnes,Maize,1944,0,hectares,0
Tasmania,tonnes,Maize,1944,0,hectares,0
Northern Territory,tonnes,Maize,1944,0,hectares,0
Australian Capital Territory,tonnes,Maize,1944,0,hectares,0
New South Wales,tonnes,Oats,1944,127900,hectares,151400
Victoria,tonnes,Oats,1944,67200,hectares,172500
Queensland,tonnes,Oats,1944,7000,hectares,8900
South Australia,tonnes,Oats,1944,41500,hectares,90800
Western Australia,tonnes,Oats,1944,71700,hectares,144900
Tasmania,tonnes,Oats,1944,5400,hectares,3900
Northern Territory,tonnes,Oats,1944,0,hectares,0
Australian Capital Territory,tonnes,Oats,1944,0,hectares,0
New South Wales,tonnes,Wheat,1944,1292700,hectares,1089900
Victoria,tonnes,Wheat,1944,537100,hectares,725800
Queensland,tonnes,Wheat,1944,138300,hectares,113800
South Australia,tonnes,Wheat,1944,562800,hectares,620700
Western Australia,tonnes,Wheat,1944,450200,hectares,634200
Tasmania,tonnes,Wheat,1944,3300,hectares,2000
Northern Territory,tonnes,Wheat,1944,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1944,0,hectares,0
New South Wales,tonnes,Potatoes,1944,66700,hectares,12200
Victoria,tonnes,Potatoes,1944,220900,hectares,28500
Queensland,tonnes,Potatoes,1944,31200,hectares,5900
South Australia,tonnes,Potatoes,1944,36600,hectares,3600
Western Australia,tonnes,Potatoes,1944,31000,hectares,3000
Tasmania,tonnes,Potatoes,1944,221300,hectares,24500
Northern Territory,tonnes,Potatoes,1944,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1944,0,hectares,0
New South Wales,tonnes,Barley,1945,2800,hectares,11400
Victoria,tonnes,Barley,1945,8200,hectares,52200
Queensland,tonnes,Barley,1945,7200,hectares,6100
South Australia,tonnes,Barley,1945,72300,hectares,145600
Western Australia,tonnes,Barley,1945,20100,hectares,30800
Tasmania,tonnes,Barley,1945,3600,hectares,2200
Northern Territory,tonnes,Barley,1945,0,hectares,0
Australian Capital Territory,tonnes,Barley,1945,0,hectares,0
New South Wales,tonnes,Maize,1945,61900,hectares,38100
Victoria,tonnes,Maize,1945,4200,hectares,1800
Queensland,tonnes,Maize,1945,72700,hectares,55200
South Australia,tonnes,Maize,1945,0,hectares,0
Western Australia,tonnes,Maize,1945,0,hectares,100
Tasmania,tonnes,Maize,1945,0,hectares,0
Northern Territory,tonnes,Maize,1945,0,hectares,0
Australian Capital Territory,tonnes,Maize,1945,0,hectares,0
New South Wales,tonnes,Oats,1945,31900,hectares,220300
Victoria,tonnes,Oats,1945,24200,hectares,292300
Queensland,tonnes,Oats,1945,5400,hectares,6800
South Australia,tonnes,Oats,1945,23800,hectares,135200
Western Australia,tonnes,Oats,1945,69600,hectares,162700
Tasmania,tonnes,Oats,1945,7600,hectares,6000
Northern Territory,tonnes,Oats,1945,0,hectares,0
Australian Capital Territory,tonnes,Oats,1945,0,hectares,0
New South Wales,tonnes,Wheat,1945,466300,hectares,1151300
Victoria,tonnes,Wheat,1945,95200,hectares,866700
Queensland,tonnes,Wheat,1945,189900,hectares,134500
South Australia,tonnes,Wheat,1945,251400,hectares,656900
Western Australia,tonnes,Wheat,1945,433300,hectares,613400
Tasmania,tonnes,Wheat,1945,2500,hectares,1600
Northern Territory,tonnes,Wheat,1945,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1945,0,hectares,0
New South Wales,tonnes,Potatoes,1945,81900,hectares,14100
Victoria,tonnes,Potatoes,1945,310100,hectares,33700
Queensland,tonnes,Potatoes,1945,34200,hectares,7400
South Australia,tonnes,Potatoes,1945,65200,hectares,5100
Western Australia,tonnes,Potatoes,1945,52000,hectares,4700
Tasmania,tonnes,Potatoes,1945,350800,hectares,32800
Northern Territory,tonnes,Potatoes,1945,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1945,0,hectares,0
New South Wales,tonnes,Barley,1946,11300,hectares,11700
Victoria,tonnes,Barley,1946,39500,hectares,54300
Queensland,tonnes,Barley,1946,11800,hectares,8500
South Australia,tonnes,Barley,1946,171800,hectares,178800
Western Australia,tonnes,Barley,1946,15100,hectares,26900
Tasmania,tonnes,Barley,1946,2800,hectares,2700
Northern Territory,tonnes,Barley,1946,0,hectares,0
Australian Capital Territory,tonnes,Barley,1946,0,hectares,0
New South Wales,tonnes,Maize,1946,65000,hectares,37400
Victoria,tonnes,Maize,1946,7800,hectares,2800
Queensland,tonnes,Maize,1946,74800,hectares,57300
South Australia,tonnes,Maize,1946,0,hectares,0
Western Australia,tonnes,Maize,1946,0,hectares,0
Tasmania,tonnes,Maize,1946,0,hectares,0
Northern Territory,tonnes,Maize,1946,0,hectares,0
Australian Capital Territory,tonnes,Maize,1946,0,hectares,0
New South Wales,tonnes,Oats,1946,181400,hectares,249700
Victoria,tonnes,Oats,1946,134300,hectares,207000
Queensland,tonnes,Oats,1946,15000,hectares,16200
South Australia,tonnes,Oats,1946,57500,hectares,149600
Western Australia,tonnes,Oats,1946,73900,hectares,160400
Tasmania,tonnes,Oats,1946,5100,hectares,5700
Northern Territory,tonnes,Oats,1946,0,hectares,0
Australian Capital Territory,tonnes,Oats,1946,0,hectares,0
New South Wales,tonnes,Wheat,1946,1701500,hectares,1527200
Victoria,tonnes,Wheat,1946,806500,hectares,1315800
Queensland,tonnes,Wheat,1946,222700,hectares,158800
South Australia,tonnes,Wheat,1946,572100,hectares,876200
Western Australia,tonnes,Wheat,1946,569300,hectares,742900
Tasmania,tonnes,Wheat,1946,1800,hectares,2000
Northern Territory,tonnes,Wheat,1946,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1946,0,hectares,0
New South Wales,tonnes,Potatoes,1946,62800,hectares,9300
Victoria,tonnes,Potatoes,1946,234500,hectares,25500
Queensland,tonnes,Potatoes,1946,34100,hectares,6200
South Australia,tonnes,Potatoes,1946,35700,hectares,3600
Western Australia,tonnes,Potatoes,1946,48400,hectares,4000
Tasmania,tonnes,Potatoes,1946,239900,hectares,22800
Northern Territory,tonnes,Potatoes,1946,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1946,0,hectares,0
New South Wales,tonnes,Barley,1947,2400,hectares,10800
Victoria,tonnes,Barley,1947,52700,hectares,55900
Queensland,tonnes,Barley,1947,1600,hectares,3700
South Australia,tonnes,Barley,1947,191200,hectares,203200
Western Australia,tonnes,Barley,1947,11800,hectares,26500
Tasmania,tonnes,Barley,1947,3500,hectares,2500
Northern Territory,tonnes,Barley,1947,0,hectares,0
Australian Capital Territory,tonnes,Barley,1947,0,hectares,0
New South Wales,tonnes,Maize,1947,63700,hectares,44500
Victoria,tonnes,Maize,1947,9100,hectares,3300
Queensland,tonnes,Maize,1947,88600,hectares,51700
South Australia,tonnes,Maize,1947,0,hectares,0
Western Australia,tonnes,Maize,1947,0,hectares,0
Tasmania,tonnes,Maize,1947,0,hectares,0
Northern Territory,tonnes,Maize,1947,0,hectares,0
Australian Capital Territory,tonnes,Maize,1947,0,hectares,0
New South Wales,tonnes,Oats,1947,37100,hectares,225800
Victoria,tonnes,Oats,1947,116100,hectares,183700
Queensland,tonnes,Oats,1947,1400,hectares,6200
South Australia,tonnes,Oats,1947,50300,hectares,102100
Western Australia,tonnes,Oats,1947,66300,hectares,172000
Tasmania,tonnes,Oats,1947,10800,hectares,9200
Northern Territory,tonnes,Oats,1947,0,hectares,0
Australian Capital Territory,tonnes,Oats,1947,0,hectares,0
New South Wales,tonnes,Wheat,1947,426800,hectares,1810900
Victoria,tonnes,Wheat,1947,1332800,hectares,1416900
Queensland,tonnes,Wheat,1947,19200,hectares,100400
South Australia,tonnes,Wheat,1947,759000,hectares,1019400
Western Australia,tonnes,Wheat,1947,647400,hectares,981700
Tasmania,tonnes,Wheat,1947,3800,hectares,3100
Northern Territory,tonnes,Wheat,1947,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1947,0,hectares,0
New South Wales,tonnes,Potatoes,1947,62300,hectares,8600
Victoria,tonnes,Potatoes,1947,227400,hectares,22800
Queensland,tonnes,Potatoes,1947,23000,hectares,4300
South Australia,tonnes,Potatoes,1947,29700,hectares,2500
Western Australia,tonnes,Potatoes,1947,36600,hectares,2800
Tasmania,tonnes,Potatoes,1947,173400,hectares,17500
Northern Territory,tonnes,Potatoes,1947,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1947,0,hectares,0
New South Wales,tonnes,Barley,1948,11800,hectares,9500
Victoria,tonnes,Barley,1948,81100,hectares,66400
Queensland,tonnes,Barley,1948,9800,hectares,7000
South Australia,tonnes,Barley,1948,348800,hectares,227600
Western Australia,tonnes,Barley,1948,16900,hectares,25600
Tasmania,tonnes,Barley,1948,5000,hectares,3300
Northern Territory,tonnes,Barley,1948,0,hectares,0
Australian Capital Territory,tonnes,Barley,1948,0,hectares,0
New South Wales,tonnes,Maize,1948,59900,hectares,35200
Victoria,tonnes,Maize,1948,8200,hectares,3200
Queensland,tonnes,Maize,1948,62300,hectares,39500
South Australia,tonnes,Maize,1948,0,hectares,0
Western Australia,tonnes,Maize,1948,0,hectares,0
Tasmania,tonnes,Maize,1948,0,hectares,0
Northern Territory,tonnes,Maize,1948,0,hectares,0
Australian Capital Territory,tonnes,Maize,1948,0,hectares,0
New South Wales,tonnes,Oats,1948,248100,hectares,246500
Victoria,tonnes,Oats,1948,279100,hectares,263100
Queensland,tonnes,Oats,1948,8600,hectares,10100
South Australia,tonnes,Oats,1948,97600,hectares,125000
Western Australia,tonnes,Oats,1948,97900,hectares,200200
Tasmania,tonnes,Oats,1948,6500,hectares,6900
Northern Territory,tonnes,Oats,1948,0,hectares,0
Australian Capital Territory,tonnes,Oats,1948,0,hectares,0
New South Wales,tonnes,Wheat,1948,2591700,hectares,2040800
Victoria,tonnes,Wheat,1948,1278100,hectares,1306000
Queensland,tonnes,Wheat,1948,290600,hectares,187100
South Australia,tonnes,Wheat,1948,884700,hectares,961100
Western Australia,tonnes,Wheat,1948,938400,hectares,1117100
Tasmania,tonnes,Wheat,1948,3200,hectares,3100
Northern Territory,tonnes,Wheat,1948,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1948,0,hectares,0
New South Wales,tonnes,Potatoes,1948,66600,hectares,8900
Victoria,tonnes,Potatoes,1948,187800,hectares,24000
Queensland,tonnes,Potatoes,1948,29800,hectares,4300
South Australia,tonnes,Potatoes,1948,34700,hectares,2500
Western Australia,tonnes,Potatoes,1948,41300,hectares,2800
Tasmania,tonnes,Potatoes,1948,145000,hectares,16300
Northern Territory,tonnes,Potatoes,1948,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1948,0,hectares,0
New South Wales,tonnes,Barley,1949,7300,hectares,7700
Victoria,tonnes,Barley,1949,80500,hectares,79200
Queensland,tonnes,Barley,1949,14100,hectares,11200
South Australia,tonnes,Barley,1949,274700,hectares,282400
Western Australia,tonnes,Barley,1949,22300,hectares,26000
Tasmania,tonnes,Barley,1949,4700,hectares,3000
Northern Territory,tonnes,Barley,1949,0,hectares,0
Australian Capital Territory,tonnes,Barley,1949,0,hectares,0
New South Wales,tonnes,Maize,1949,62900,hectares,31500
Victoria,tonnes,Maize,1949,6600,hectares,2600
Queensland,tonnes,Maize,1949,86200,hectares,46800
South Australia,tonnes,Maize,1949,0,hectares,0
Western Australia,tonnes,Maize,1949,0,hectares,0
Tasmania,tonnes,Maize,1949,0,hectares,0
Northern Territory,tonnes,Maize,1949,0,hectares,0
Australian Capital Territory,tonnes,Maize,1949,0,hectares,0
New South Wales,tonnes,Oats,1949,104900,hectares,153100
Victoria,tonnes,Oats,1949,135900,hectares,218400
Queensland,tonnes,Oats,1949,7600,hectares,8600
South Australia,tonnes,Oats,1949,47800,hectares,116000
Western Australia,tonnes,Oats,1949,126700,hectares,215200
Tasmania,tonnes,Oats,1949,4800,hectares,4700
Northern Territory,tonnes,Oats,1949,0,hectares,0
Australian Capital Territory,tonnes,Oats,1949,0,hectares,0
New South Wales,tonnes,Wheat,1949,1760900,hectares,1634300
Victoria,tonnes,Wheat,1949,1335300,hectares,1212300
Queensland,tonnes,Wheat,1949,389400,hectares,246000
South Australia,tonnes,Wheat,1949,710900,hectares,834900
Western Australia,tonnes,Wheat,1949,986000,hectares,1160500
Tasmania,tonnes,Wheat,1949,4200,hectares,2800
Northern Territory,tonnes,Wheat,1949,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1949,0,hectares,0
New South Wales,tonnes,Potatoes,1949,62200,hectares,7300
Victoria,tonnes,Potatoes,1949,168800,hectares,18500
Queensland,tonnes,Potatoes,1949,28000,hectares,4500
South Australia,tonnes,Potatoes,1949,33600,hectares,2400
Western Australia,tonnes,Potatoes,1949,40100,hectares,2600
Tasmania,tonnes,Potatoes,1949,133900,hectares,13100
Northern Territory,tonnes,Potatoes,1949,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1949,0,hectares,0
New South Wales,tonnes,Barley,1950,6000,hectares,5200
Victoria,tonnes,Barley,1950,110600,hectares,95600
Queensland,tonnes,Barley,1950,13100,hectares,10100
South Australia,tonnes,Barley,1950,288900,hectares,280800
Western Australia,tonnes,Barley,1950,22000,hectares,27500
Tasmania,tonnes,Barley,1950,3000,hectares,1800
Northern Territory,tonnes,Barley,1950,0,hectares,0
Australian Capital Territory,tonnes,Barley,1950,0,hectares,0
