Region label,Unit of measure_x,Commodity,Year,Value,Unit of measure_y,Hectares
Queensland,tonnes,Oats,1914,1000,hectares,1700
South Australia,tonnes,Oats,1914,21700,hectares,47300
Western Australia,tonnes,Oats,1914,30000,hectares,54100
Tasmania,tonnes,Oats,1914,28800,hectares,23800
Northern Territory,tonnes,Oats,1914,0,hectares,0
Australian Capital Territory,tonnes,Oats,1914,0,hectares,0
New South Wales,tonnes,Wheat,1914,1034700,hectares,1297200
Victoria,tonnes,Wheat,1914,896400,hectares,1038400
Queensland,tonnes,Wheat,1914,48100,hectares,53700
South Australia,tonnes,Wheat,1914,460700,hectares,917800
Western Australia,tonnes,Wheat,1914,362600,hectares,444000
Tasmania,tonnes,Wheat,1914,9500,hectares,7500
Northern Territory,tonnes,Wheat,1914,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1914,0,hectares,0
New South Wales,tonnes,Potatoes,1914,108600,hectares,15700
Victoria,tonnes,Potatoes,1914,179400,hectares,30200
Queensland,tonnes,Potatoes,1914,16800,hectares,4100
South Australia,tonnes,Potatoes,1914,33500,hectares,4400
Western Australia,tonnes,Potatoes,1914,18100,hectares,2100
Tasmania,tonnes,Potatoes,1914,81700,hectares,12500
Northern Territory,tonnes,Potatoes,1914,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1914,0,hectares,0
New South Wales,tonnes,Barley,1915,1100,hectares,2000
Victoria,tonnes,Barley,1915,13600,hectares,25300
Queensland,tonnes,Barley,1915,2400,hectares,2900
South Australia,tonnes,Barley,1915,10200,hectares,26800
Western Australia,tonnes,Barley,1915,500,hectares,2800
Tasmania,tonnes,Barley,1915,2400,hectares,2400
Northern Territory,tonnes,Barley,1915,0,hectares,0
Australian Capital Territory,tonnes,Barley,1915,0,hectares,0
New South Wales,tonnes,Maize,1915,80600,hectares,58100
Victoria,tonnes,Maize,1915,25900,hectares,7900
Queensland,tonnes,Maize,1915,50900,hectares,59300
South Australia,tonnes,Maize,1915,0,hectares,0
Western Australia,tonnes,Maize,1915,0,hectares,0
Tasmania,tonnes,Maize,1915,0,hectares,0
Northern Territory,tonnes,Maize,1915,0,hectares,0
Australian Capital Territory,tonnes,Maize,1915,0,hectares,0
New South Wales,tonnes,Oats,1915,9300,hectares,17600
Victoria,tonnes,Oats,1915,29200,hectares,177000
Queensland,tonnes,Oats,1915,800,hectares,1100
South Australia,tonnes,Oats,1915,6700,hectares,56900
Western Australia,tonnes,Oats,1915,8400,hectares,38900
Tasmania,tonnes,Oats,1915,24300,hectares,23100
Northern Territory,tonnes,Oats,1915,0,hectares,0
Australian Capital Territory,tonnes,Oats,1915,0,hectares,0
New South Wales,tonnes,Wheat,1915,349200,hectares,1116100
Victoria,tonnes,Wheat,1915,107300,hectares,1158800
Queensland,tonnes,Wheat,1915,43100,hectares,51400
South Australia,tonnes,Wheat,1915,95900,hectares,1012800
Western Australia,tonnes,Wheat,1915,71400,hectares,556900
Tasmania,tonnes,Wheat,1915,10500,hectares,9700
Northern Territory,tonnes,Wheat,1915,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1915,0,hectares,0
New South Wales,tonnes,Potatoes,1915,41400,hectares,12300
Victoria,tonnes,Potatoes,1915,192300,hectares,26500
Queensland,tonnes,Potatoes,1915,16300,hectares,3400
South Australia,tonnes,Potatoes,1915,18300,hectares,3100
Western Australia,tonnes,Potatoes,1915,15000,hectares,1900
Tasmania,tonnes,Potatoes,1915,80200,hectares,12800
Northern Territory,tonnes,Potatoes,1915,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1915,0,hectares,0
New South Wales,tonnes,Barley,1916,2600,hectares,2600
Victoria,tonnes,Barley,1916,39300,hectares,24800
Queensland,tonnes,Barley,1916,200,hectares,600
South Australia,tonnes,Barley,1916,38500,hectares,34400
Western Australia,tonnes,Barley,1916,3000,hectares,4100
Tasmania,tonnes,Barley,1916,2600,hectares,2200
Northern Territory,tonnes,Barley,1916,0,hectares,0
Australian Capital Territory,tonnes,Barley,1916,0,hectares,0
New South Wales,tonnes,Maize,1916,95900,hectares,62400
Victoria,tonnes,Maize,1916,25400,hectares,9000
Queensland,tonnes,Maize,1916,76700,hectares,73400
South Australia,tonnes,Maize,1916,0,hectares,0
Western Australia,tonnes,Maize,1916,0,hectares,0
Tasmania,tonnes,Maize,1916,0,hectares,0
Northern Territory,tonnes,Maize,1916,0,hectares,0
Australian Capital Territory,tonnes,Maize,1916,0,hectares,0
New South Wales,tonnes,Oats,1916,24400,hectares,23700
Victoria,tonnes,Oats,1916,169300,hectares,143200
Queensland,tonnes,Oats,1916,0,hectares,100
South Australia,tonnes,Oats,1916,38600,hectares,51200
Western Australia,tonnes,Oats,1916,27800,hectares,42100
Tasmania,tonnes,Oats,1916,39600,hectares,31700
Northern Territory,tonnes,Oats,1916,0,hectares,0
Australian Capital Territory,tonnes,Oats,1916,0,hectares,0
New South Wales,tonnes,Wheat,1916,1817000,hectares,1695200
Victoria,tonnes,Wheat,1916,1592700,hectares,1489200
Queensland,tonnes,Wheat,1916,11300,hectares,37900
South Australia,tonnes,Wheat,1916,928500,hectares,1108500
Western Australia,tonnes,Wheat,1916,496000,hectares,701800
